PSH Flag Count,min_seg_size_forward,Flow IAT Max,Flow IAT Min,ACK Flag Count,Destination Port,Bwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Init_Win_bytes_forward,Fwd IAT Max,Idle Mean,Idle Max,Avg Bwd Segment Size,Bwd Packet Length Std,Bwd IAT Mean,Fwd IAT Std,Down/Up Ratio,Max Packet Length,Average Packet Size,Min Packet Length,Packet Length Std,Fwd Packets/s,Packet Length Mean,Flow IAT Std,URG Flag Count,FIN Flag Count,Fwd Packet Length Min,Subflow Fwd Packets,Bwd IAT Max,Packet Length Variance,Fwd IAT Mean,Flow Duration,Fwd IAT Total,Bwd IAT Std,Flow IAT Mean,Label
0,20,7137556,0,1,40474,6.0,6,6,229,0,7137556.0,7137556,6.0,0.0,1791202.75,0.0,5,6,7.0,6,0.0,0.139222307,6.0,3186980.181,1,0,6,1,7137556,0.0,0.0,7182757,0,3564258.647,1436551.4,BENIGN
0,20,920834,6,1,28907,6.0,6,6,229,0,0.0,0,6.0,0.0,232253.75,0.0,5,6,7.0,6,0.0,1.065519883,6.0,409853.1075,1,0,6,1,920834,0.0,0.0,938509,0,459064.5394,187701.8,BENIGN
0,0,26300000,0,0,0,0.0,0,0,-1,26300000,13100000.0,26300000,0.0,0.0,0.0,3395926.048,0,0,0.0,0,0.0,1.025036457,0.0,3395926.048,0,0,0,123,0,0.0,983571.5738,119995732,120000000,0.0,983571.5738,BENIGN
1,20,37502,3,0,443,658.1666667,2860,0,8192,39066,0.0,0,658.1666667,1111.62915,17036.6,17691.10412,0,2860,281.375,0,692.0222391,69.95257216,264.8235294,15297.6821,0,0,0,10,45741,478894.7794,15883.77778,142954,142954,22735.63534,9530.266667,BENIGN
0,20,2541367,1,1,17541,6.0,6,6,229,0,0.0,0,6.0,0.0,509258.8,0.0,6,6,6.857142857,6,0.0,0.392353039,6.0,1036908.364,1,0,6,1,2541367,0.0,0.0,2548725,0,1135983.358,424787.5,BENIGN
0,20,7824484,2,1,62769,6.888888889,20,0,229,9308041,7824484.0,7824484,6.888888889,5.30199124,1163029.75,4142621.162,1,5840,778.7333333,0,1978.190435,0.631950934,730.0625,2093851.732,1,0,0,6,7824484,3913237.396,1898881.6,9494408,9494408,2740650.148,678172.0,BENIGN
0,32,47175,47175,0,53,168.0,168,168,-1,0,0.0,0,168.0,0.0,0.0,0.0,1,168,131.0,47,69.85938257,21.19766826,87.33333333,0.0,0,0,47,1,0,4880.333333,0.0,47175,0,0.0,47175.0,BENIGN
0,20,88400000,1,1,62230,6.222222222,20,0,229,98900000,49400000.0,88400000,6.222222222,5.783117191,12400000.0,44100000.0,1,8760,960.8666667,0,2244.598738,0.059928293,900.8125,23600000.0,1,0,0,6,88400000,5038223.496,20000000.0,100119654,100000000,31000000.0,7151403.857,BENIGN
0,20,8212358,2,1,64804,6.0,6,6,229,0,8212358.0,8212358,6.0,0.0,2053720.5,0.0,5,6,7.0,6,0.0,0.121352891,6.0,3669555.343,1,0,6,1,8212358,0.0,0.0,8240430,0,4105758.505,1648086.0,BENIGN
0,20,72900000,0,1,64884,6.888888889,20,0,229,81600000,40800000.0,72900000,6.888888889,5.30199124,10200000.0,33300000.0,1,4380,729.6875,0,1465.729491,0.085140665,686.7647059,18800000.0,1,0,0,7,72900000,2148362.941,13700000.0,82216882,82200000,25500000.0,5481125.467,BENIGN
0,20,6075462,4,1,80,2321.4,7215,0,256,6075462,6075462.0,6075462,2321.4,3327.769794,20756.75,2447736.518,0,7215,971.9166667,0,2250.514898,0.86435685,897.1538462,1863101.343,0,0,0,7,82025,5064817.308,1336039.833,8098507,8016239,40847.23003,736227.9091,DDoS
1,20,169292,3,0,80,2321.4,5840,0,8192,550,0.0,0,2321.4,3173.373883,42503.25,355.6747109,1,5840,1454.125,0,2554.159212,17.64072891,1292.555556,63938.15585,0,0,0,3,169292,6523729.278,298.5,170061,597,84526.16728,24294.42857,DDoS
1,20,83526,4,0,80,2320.2,7215,0,8192,10985,0.0,0,2320.2,2991.555649,23712.75,7764.739564,1,7215,1453.375,0,2441.667076,31.60190033,1291.888889,31113.1597,0,0,0,3,83526,5961738.111,5494.5,94931,10989,40207.34665,13561.57143,DDoS
0,20,8324042,319,1,80,0.0,0,0,256,8324042,8324042.0,8324042,0.0,0.0,0.0,4805672.827,0,6,7.5,6,0.0,0.480492774,6.0,4805672.827,0,0,6,4,0,0.0,2774929.0,8324787,8324787,0.0,2774929.0,DDoS
0,20,2038206,251,1,80,0.0,0,0,256,2038206,0.0,0,0.0,0.0,0.0,1176521.503,0,6,7.5,6,0.0,1.961719015,6.0,1176521.503,0,0,6,4,0,0.0,679676.0,2039028,2039028,0.0,679676.0,DDoS
0,20,94800000,78,1,80,2900.25,8760,0,256,94800000,94800000.0,94800000,2900.25,4128.319301,11920.33333,35800000.0,0,8760,971.9166667,0,2488.507044,0.083417656,897.1538462,28500000.0,0,0,0,8,34467,6192667.308,13700000.0,95902959,95900000,19531.38025,8718450.818,DDoS
0,20,82200000,1,1,80,1658.142857,4380,0,256,82200000,82200000.0,82200000,1658.142857,1942.877285,15441.66667,31000000.0,0,4380,777.9333333,0,1491.866872,0.095816537,729.3125,21900000.0,0,0,0,8,89525,2225666.763,11900000.0,83492894,83400000,36304.57142,5963778.143,DDoS
0,20,86900000,3,1,80,2320.2,4380,0,256,86900000,49500000.0,86900000,2320.2,2207.341206,7316.75,32400000.0,0,4380,897.1538462,0,1679.986285,0.080826388,833.0714286,25000000.0,0,0,0,8,21264,2822353.918,14100000.0,98977577,99000000,9853.967606,8248131.417,DDoS
1,20,19665,28,0,80,2900.25,10135,0,8192,12532,0.0,0,2900.25,4871.82583,10948.66667,8513.565645,1,10135,1661.0,0,3544.652026,91.154933,1453.375,8507.651883,0,0,0,3,19665,12600000.0,6512.0,32911,13024,9894.243899,5485.166667,DDoS
1,20,471101,49,0,80,1933.5,2920,0,8192,35921,0.0,0,1933.5,1495.722401,101551.2,25365.33445,2,2920,1291.888889,0,1494.366611,5.906988558,1162.7,165173.7091,0,0,0,3,471101,2233131.567,17985.0,507873,35970,207162.418,63484.125,DDoS
